name,trueCount,totalPredLoc,correctlyPredCount,extraPred,minTranslationError,maxTranslationError,avgTranslationError,medianTransLationError,accuracy,precision
14sep05c_c_00006gr_00030sq_00005hl_00003es_c,269,905,249,656,0,108,26,14,92.5650557620818,37.9573170731707
14sep05c_c_00006gr_00030sq_00006hl_00002es_c,275,1008,273,735,1,101,29,16,99.2727272727273,37.1428571428571
14sep05c_c_00006gr_00030sq_00006hl_00004es_c,285,905,274,631,1,106,28,18,96.140350877193,43.4231378763867
14sep05c_c_00006gr_00030sq_00008hl_00002es_c,291,1130,285,845,1,105,30,20,97.9381443298969,33.7278106508876
14sep05c_c_00007gr_00013sq_00002hl_00005es_c,209,793,200,593,1,92,27,16,95.6937799043062,33.7268128161889
14sep05c_c_00007gr_00013sq_00003hl_00004es_c,187,742,171,571,0,105,27,13,91.4438502673797,29.9474605954466
14sep05c_c_00007gr_00013sq_00004hl_00002es_c,280,924,268,656,0,99,26,15,95.7142857142857,40.8536585365854
14sep05c_c_00007gr_00013sq_00004hl_00003es_c,259,897,247,650,1,103,27,15,95.3667953667954,38
14sep05c_c_00007gr_00013sq_00004hl_00004es_c,301,857,279,578,0,108,26,14,92.6910299003322,48.2698961937716
14sep05c_c_00007gr_00013sq_00005hl_00002es_c,253,904,244,660,1,103,25,13,96.4426877470356,36.969696969697
14sep05c_c_00007gr_00013sq_00005hl_00003es_c,247,880,228,652,1,96,24,14,92.3076923076923,34.9693251533742
14sep05c_c_00007gr_00013sq_00005hl_00005es_c,262,981,245,736,0,96,26,15,93.5114503816794,33.2880434782609
14sep05c_c_00007gr_00013sq_00006hl_00002es_c,263,799,241,558,0,102,25,14,91.6349809885932,43.1899641577061
14sep05c_c_00007gr_00013sq_00006hl_00003es_c,228,932,222,710,0,102,27,15,97.3684210526316,31.2676056338028
14sep05c_c_00007gr_00013sq_00007hl_00004es_c,245,875,237,638,1,104,28,17,96.734693877551,37.1473354231975
14sep05c_c_00007gr_00013sq_00008hl_00003es_c,281,864,261,603,0,106,29,16,92.8825622775801,43.2835820895522
14sep05c_c_00007gr_00013sq_00008hl_00004es_c,232,964,222,742,0,101,26,16,95.6896551724138,29.9191374663073
14sep05c_c_00007gr_00013sq_00008hl_00005es_c,258,994,253,741,1,105,25,15,98.062015503876,34.1430499325236
14sep05c_c_00007gr_00013sq_00009hl_00002es_c,270,996,266,730,0,107,24,14,98.5185185185185,36.4383561643836
14sep05c_c_00007gr_00013sq_00009hl_00003es_c,267,895,254,641,1,105,27,16,95.1310861423221,39.6255850234009
14sep05c_c_00007gr_00013sq_00009hl_00004es_c,270,858,257,601,0,103,27,16,95.1851851851852,42.7620632279534
14sep05c_c_00007gr_00013sq_00010hl_00002es_c,257,969,250,719,0,104,26,14,97.2762645914397,34.7705146036161
14sep05c_c_00007gr_00013sq_00010hl_00003es_c,242,925,237,688,2,107,27,16,97.9338842975207,34.4476744186046
14sep05c_c_00007gr_00013sq_00010hl_00004es_c,222,1036,218,818,1,108,27,16,98.1981981981982,26.6503667481663
14sep05c_c_00007gr_00013sq_00011hl_00002es_c,234,819,219,600,1,98,25,14,93.5897435897436,36.5
14sep05c_c_00007gr_00013sq_00014hl_00002es_c,230,723,206,517,0,99,24,13,89.5652173913044,39.8452611218569
14sep05c_c_00007gr_00013sq_00014hl_00005es_c,207,851,201,650,1,100,24,14,97.1014492753623,30.9230769230769
14sep05c_c_00007gr_00013sq_00015hl_00002es_c,255,889,249,640,0,108,24,13,97.6470588235294,38.90625
14sep05c_c_00007gr_00013sq_00015hl_00003es_c,244,944,237,707,1,106,26,14,97.1311475409836,33.5219236209335
14sep05c_c_00007gr_00013sq_00017hl_00004es_c,193,806,181,625,1,101,26,14,93.7823834196891,28.96
14sep05c_c_00007gr_00013sq_00019hl_00002es_c,164,974,159,815,1,104,24,14,96.9512195121951,19.5092024539877
14sep05c_c_00007gr_00013sq_00019hl_00005es_c,258,894,253,641,0,106,25,13,98.062015503876,39.4695787831513
14sep05c_c_00007gr_00013sq_00021hl_00004es_c,278,915,276,639,1,104,27,16,99.2805755395683,43.1924882629108
14sep05c_c_00007gr_00013sq_00022hl_00004es_c,179,687,171,516,0,91,21,12,95.5307262569832,33.1395348837209
14sep05c_c_00007gr_00013sq_00026hl_00004es_c,204,724,196,528,1,107,24,14,96.078431372549,37.1212121212121
14sep05c_c_00007gr_00021sq_00007hl_00003es_c,296,918,286,632,0,107,29,16,96.6216216216216,45.253164556962
14sep05c_c_00007gr_00021sq_00012hl_00002es_c,279,979,271,708,1,96,27,17,97.1326164874552,38.2768361581921
14sep05c_c_00007gr_00021sq_00012hl_00004es_c,277,945,269,676,0,105,26,15,97.1119133574007,39.792899408284
14sep05c_c_00007gr_00021sq_00016hl_00003es_c,224,897,213,684,0,108,26,14,95.0892857142857,31.140350877193
14sep05c_c_00007gr_00021sq_00017hl_00002es_c,234,972,227,745,1,100,27,17,97.008547008547,30.4697986577181
